cost_source,test_reduction,discount,mean_cost,cumulative_years,proportion_total,percentage_total
total,0,3%,7656243224.655704,5,1,100
total,0,6%,7207477044.687206,5,1,100
total,0,undiscounted,8133284407.656107,5,1,100
total,25,3%,7557237098.407562,5,1,100
total,25,6%,7115584930.4278755,5,1,100
total,25,undiscounted,8026696975.344458,5,1,100
total,50,3%,7470355212.566671,5,1,100
total,50,6%,7034850134.628906,5,1,100
total,50,undiscounted,7933264186.934323,5,1,100
total,75,3%,7395609411.829773,5,1,100
total,75,6%,6965272979.693584,5,1,100
total,75,undiscounted,7853010712.249887,5,1,100
total,100,3%,7333438999.464628,5,1,100
total,100,6%,6907251989.2540455,5,1,100
total,100,undiscounted,7786420159.935861,5,1,100
total,0,3%,14377476042.059969,10,1,100
total,0,6%,12617022717.566875,10,1,100
total,0,undiscounted,16444827441.806423,10,1,100
total,25,3%,14166410793.203648,10,1,100
total,25,6%,12434867090.552078,10,1,100
total,25,undiscounted,16199777170.98732,10,1,100
total,50,3%,13978494049.37807,10,1,100
total,50,6%,12272782775.141384,10,1,100
total,50,undiscounted,15981453375.605007,10,1,100
total,75,3%,13813709019.0574,10,1,100
total,75,6%,12130765918.570105,10,1,100
total,75,undiscounted,15789816935.152525,10,1,100
total,100,3%,13674435248.109016,10,1,100
total,100,6%,12010777973.56865,10,1,100
total,100,undiscounted,15627748403.41093,10,1,100
total,0,3%,28794191965.856285,25,1,100
total,0,6%,21338005940.718506,25,1,100
total,0,undiscounted,40320870394.64358,25,1,100
total,25,3%,28416015201.098976,25,1,100
total,25,6%,21050982077.598648,25,1,100
total,25,undiscounted,39809500725.59428,25,1,100
total,50,3%,28095288417.005424,25,1,100
total,50,6%,20803820626.507694,25,1,100
total,50,undiscounted,39384348380.324005,25,1,100
total,75,3%,27824865068.169655,25,1,100
total,75,6%,20592377587.44104,25,1,100
total,75,undiscounted,39033110450.87567,25,1,100
total,100,3%,27600672872.726284,25,1,100
total,100,6%,20415235514.363636,25,1,100
total,100,undiscounted,38746544475.89407,25,1,100
total,0,3%,38374809317.53,50,1,100
total,0,6%,24692348517.985756,50,1,100
total,0,undiscounted,67993988236.60131,50,1,100
total,25,3%,38057871260.77121,50,1,100
total,25,6%,24420743889.239567,50,1,100
total,25,undiscounted,67714363716.196945,50,1,100
total,50,3%,37899951181.38641,50,1,100
total,50,6%,24220949060.71879,50,1,100
total,50,undiscounted,67847672698.20763,50,1,100
total,75,3%,37889590105.31728,50,1,100
total,75,6%,24087133898.966698,50,1,100
total,75,undiscounted,68370832980.87713,50,1,100
total,100,3%,37990947302.19112,50,1,100
total,100,6%,24007887143.677666,50,1,100
total,100,undiscounted,69172438013.06662,50,1,100
care,0,3%,1979339157.3176455,5,0.2585261595325892,25.85
care,0,6%,1863809359.570669,5,0.25859386689889285,25.86
care,0,undiscounted,2102134615.8593152,5,0.25846072883920207,25.85
care,25,3%,1980964122.032742,5,0.26212808943762855,26.21
care,25,6%,1865259494.143196,5,0.26213719776808764,26.21
care,25,undiscounted,2103949602.601688,5,0.2621189773407883,26.21
care,50,3%,1982570878.1651168,5,0.2653917814818264,26.54
care,50,6%,1866693814.0130613,5,0.2653494784237548,26.53
care,50,undiscounted,2105743737.7685251,5,0.2654321964011455,26.54
care,75,3%,1984121259.6816504,5,0.26828367335191006,26.83
care,75,6%,1868078416.6063144,5,0.26819888065442266,26.82
care,75,undiscounted,2107474201.0838327,5,0.26836512495728426,26.84
care,100,3%,1985585163.57614,5,0.27075771186221037,27.08
care,100,6%,1869386593.965361,5,0.27064114598304195,27.06
care,100,undiscounted,2109107181.3521936,5,0.2708699425448892,27.09
care,0,3%,3690200699.9496994,10,0.25666540421659273,25.67
care,0,6%,3240995887.0082717,10,0.256874855467747,25.69
care,0,undiscounted,4217490819.16552,10,0.2564630631783777,25.65
care,25,3%,3703248939.3393087,10,0.2614105289898798,26.14
care,25,6%,3251535558.148113,10,0.26148534877534846,26.15
care,25,undiscounted,4233587630.59071,10,0.26133616443643265,26.13
care,50,3%,3717115369.430747,10,0.2659167258146902,26.59
care,50,6%,3262708093.839987,10,0.2658490868467604,26.58
care,50,undiscounted,4250734594.015865,10,0.265979225675709,26.6
care,75,3%,3731379932.3653297,10,0.2701215095248869,27.01
care,75,6%,3274174363.472361,10,0.2699066477294864,26.99
care,75,undiscounted,4268413516.686529,10,0.27032697935742706,27.03
care,100,3%,3745254386.860887,10,0.27388731738510397,27.39
care,100,6%,3285310235.824156,10,0.2735301778997104,27.35
care,100,undiscounted,4285634007.704775,10,0.27423233962285876,27.42
care,0,3%,7277471186.682248,25,0.2527409414826352,25.27
care,0,6%,5414217539.099261,25,0.2537358717652016,25.37
care,0,undiscounted,10149721942.349266,25,0.2517237808362789,25.17
care,25,3%,7350512301.260278,25,0.2586749848365791,25.87
care,25,6%,5459772565.383548,25,0.25935951801477003,25.94
care,25,undiscounted,10268668889.971558,25,0.2579451814970801,25.79
care,50,3%,7437376117.912771,25,0.2647196927656774,26.47
care,50,6%,5513401543.568453,25,0.2650187022158525,26.5
care,50,undiscounted,10411369357.097088,25,0.26435296723859203,26.44
care,75,3%,7539076209.633293,25,0.2709474490231273,27.09
care,75,6%,5575504107.382984,25,0.2707557242337764,27.08
care,75,undiscounted,10580031905.081572,25,0.27105274939328383,27.11
care,100,3%,7650776136.015321,25,0.27719527604616717,27.72
care,100,6%,5643040196.023672,25,0.27641318132496556,27.64
care,100,undiscounted,10766874136.3301,25,0.2778795962831897,27.79
care,0,3%,9516435580.262297,50,0.24798652422007197,24.8
care,0,6%,6203111627.085396,50,0.2512159433748105,25.12
care,0,undiscounted,16571783504.296616,50,0.24372424583525149,24.37
care,25,3%,9694165684.58215,50,0.2547217004902367,25.47
care,25,6%,6282777797.539055,50,0.2572721709885101,25.73
care,25,undiscounted,17016377696.74598,50,0.2512964275654228,25.13
care,50,3%,9918390954.134571,50,0.2616993068583617,26.17
care,50,6%,6380931965.169343,50,0.26344681825527033,26.34
care,50,undiscounted,17588550006.13104,50,0.25923586331938675,25.92
care,75,3%,10197447272.21116,50,0.2691358561511619,26.91
care,75,6%,6500283524.979097,50,0.2698653792619947,26.99
care,75,undiscounted,18314000350.500156,50,0.26786276474973564,26.79
care,100,3%,10520700238.09441,50,0.2769265044751235,27.69
care,100,6%,6635926132.17132,50,0.2764060865688821,27.64
care,100,undiscounted,19166693162.52004,50,0.27708569645759,27.71
testing,0,3%,356133836.59436345,5,0.046515481045258794,4.65
testing,0,6%,335069519.6189943,5,0.04648915529546939,4.65
testing,0,undiscounted,378531814.9034858,5,0.0465410768799825,4.65
testing,25,3%,279720423.3058722,5,0.03701358309438432,3.7
testing,25,6%,263943359.47467917,5,0.03709369813660669,3.71
testing,25,undiscounted,296491403.353971,5,0.03693815828163208,3.69
testing,50,3%,215217963.12022015,5,0.02880960235440737,2.88
testing,50,6%,203764648.23602456,5,0.028965030432275628,2.9
testing,50,undiscounted,227390178.680548,5,0.028662877388483783,2.87
testing,75,3%,162241780.436431,5,0.021937580989189936,2.19
testing,75,6%,154177770.74472985,5,0.022135208655025666,2.21
testing,75,undiscounted,170812383.8876883,5,0.02175119710727487,2.18
testing,100,3%,120541433.40000746,5,0.016437231346549345,1.64
testing,100,6%,114960673.70778827,5,0.01664347469683143,1.66
testing,100,undiscounted,126476978.74985044,5,0.016243276904144392,1.62
testing,0,3%,685473836.2647996,10,0.0476769242570469,4.77
testing,0,6%,599939537.6769624,10,0.04755000851679987,4.76
testing,0,undiscounted,786092032.3310422,10,0.04780178053632966,4.78
testing,25,3%,524592773.6765309,10,0.03703074697849401,3.7
testing,25,6%,460890448.32783175,10,0.03706436465879181,3.71
testing,25,undiscounted,599507826.8143593,10,0.03700716500520985,3.7
testing,50,3%,392212299.8427324,10,0.02805826567992728,2.81
testing,50,6%,346123730.6749647,10,0.028202546807561932,2.82
testing,50,undiscounted,446403313.3098524,10,0.027932585530128794,2.79
testing,75,3%,287408979.5833945,10,0.020806068752923994,2.08
testing,75,6%,254849978.64055535,10,0.021008564533458198,2.1
testing,75,undiscounted,325696776.2730799,10,0.020627014081967487,2.06
testing,100,3%,209078606.7792961,10,0.015289743450882826,1.53
testing,100,6%,186163398.15271568,10,0.015499695237260531,1.55
testing,100,undiscounted,236046342.7922679,10,0.015104309123683367,1.51
testing,0,3%,1495307491.126874,25,0.05193087178483726,5.19
testing,0,6%,1085300710.853752,25,0.050862330522774564,5.09
testing,0,undiscounted,2139761438.9764311,25,0.053068334538251626,5.31
testing,25,3%,1122916145.2786546,25,0.03951701663065081,3.95
testing,25,6%,819601001.9874845,25,0.03893409813215607,3.89
testing,25,undiscounted,1599317792.0454211,25,0.04017427405255524,4.02
testing,50,3%,821355346.2075613,25,0.029234629451620576,2.92
testing,50,6%,603529974.8986294,25,0.029010535407598497,2.9
testing,50,undiscounted,1163171842.2134829,25,0.029533860278226437,2.95
testing,75,3%,589019181.1188942,25,0.021168806377886255,2.12
testing,75,6%,435864934.2128242,25,0.021166323915828508,2.12
testing,75,undiscounted,829166940.459384,25,0.021242656065109524,2.12
testing,100,3%,422750881.9091071,25,0.015316687526370058,1.53
testing,100,6%,314446046.91407144,25,0.015402518706817527,1.54
testing,100,undiscounted,592597369.9725997,25,0.015294199211526607,1.53
testing,0,3%,2321509998.164586,50,0.06049567514343575,6.05
testing,0,6%,1362006428.81694,50,0.055159047663079226,5.52
testing,0,undiscounted,4641700875.203224,50,0.0682663422985473,6.83
testing,25,3%,1729568096.1582105,50,0.04544573931387991,4.54
testing,25,6%,1022830396.8886,50,0.04188367076480772,4.19
testing,25,undiscounted,3435922158.5115557,50,0.050741408025513204,5.07
testing,50,3%,1251915154.1881847,50,0.03303210466410919,3.3
testing,50,6%,747843852.228396,50,0.030875910368072208,3.09
testing,50,undiscounted,2465983613.307879,50,0.03634588358360926,3.63
testing,75,3%,887006895.8030717,50,0.023410305926708678,2.34
testing,75,6%,535833043.51054,50,0.02224561235712342,2.22
testing,75,undiscounted,1730023151.681069,50,0.025303526024978297,2.53
testing,100,3%,630994982.4997474,50,0.016609087882979823,1.66
testing,100,6%,384376273.15456784,50,0.01601041652912764,1.6
testing,100,undiscounted,1221514607.299868,50,0.01765897866819621,1.77
treatment,0,3%,5320770230.743696,5,0.6949583594221522,69.5
treatment,0,6%,5008598165.497543,5,0.6949169778056378,69.49
treatment,0,undiscounted,5652617976.893306,5,0.6949981942808154,69.5
treatment,25,3%,5296552553.068949,5,0.7008583274679873,70.09
treatment,25,6%,4986382076.81,5,0.7007691040953057,70.08
treatment,25,undiscounted,5626255969.3888,5,0.7009428643775797,70.09
treatment,50,3%,5272566371.281335,5,0.7057986161637663,70.58
treatment,50,6%,4964391672.379821,5,0.7056854911439696,70.57
treatment,50,undiscounted,5600130270.48525,5,0.7059049262103707,70.59
treatment,75,3%,5249246371.711691,5,0.7097787456589,70.98
treatment,75,6%,4943016792.34254,5,0.7096659106905516,70.97
treatment,75,undiscounted,5574724127.278366,5,0.7098836779354408,70.99
treatment,100,3%,5227312402.48848,5,0.7128050567912402,71.28
treatment,100,6%,4922904721.580895,5,0.7127153793201265,71.27
treatment,100,undiscounted,5550835999.833816,5,0.7128867805509663,71.29
treatment,0,3%,10001801505.84547,10,0.6956576715263604,69.57
treatment,0,6%,8776087292.881643,10,0.6955751360154533,69.56
treatment,0,undiscounted,11441244590.309864,10,0.6957351562852928,69.57
treatment,25,3%,9938569080.187807,10,0.7015587240316261,70.16
treatment,25,6%,8722441084.076134,10,0.7014502865658597,70.15
treatment,25,undiscounted,11366681713.582249,10,0.7016566705583573,70.17
treatment,50,3%,9869166380.104591,10,0.7060250085053825,70.6
treatment,50,6%,8663950950.62643,10,0.7059483663456775,70.59
treatment,50,undiscounted,11284315468.279291,10,0.7060881887941624,70.61
treatment,75,3%,9794920107.108677,10,0.7090724217221892,70.91
treatment,75,6%,8601741576.457188,10,0.7090847877370553,70.91
treatment,75,undiscounted,11195706642.192911,10,0.7090460065606051,70.9
treatment,100,3%,9720102254.46883,10,0.710822939164013,71.08
treatment,100,6%,8539304339.591778,10,0.7109701268630291,71.1
treatment,100,undiscounted,11106068052.913889,10,0.7106633512534579,71.07
treatment,0,3%,20021413288.047165,25,0.6953281867325276,69.53
treatment,0,6%,14838487690.76549,25,0.6954017977120237,69.54
treatment,0,undiscounted,28031387013.31788,25,0.6952078846254695,69.52
treatment,25,3%,19942586754.560043,25,0.7018079985327701,70.18
treatment,25,6%,14771608510.227615,25,0.7017063838530738,70.17
treatment,25,undiscounted,27941514043.577297,25,0.7018805444503646,70.19
treatment,50,3%,19836556952.88509,25,0.7060456777827019,70.6
treatment,50,6%,14686889108.040611,25,0.705970762376549,70.6
treatment,50,undiscounted,27809807181.013435,25,0.7061131724831815,70.61
treatment,75,3%,19696769677.41747,25,0.7078837445989865,70.79
treatment,75,6%,14581008545.845234,25,0.7080779518503952,70.81
treatment,75,undiscounted,27623911605.33471,25,0.7077045945416065,70.77
treatment,100,3%,19527145854.801857,25,0.7074880364274628,70.75
treatment,100,6%,14457749271.425892,25,0.7081842999682169,70.82
treatment,100,undiscounted,27387072969.591373,25,0.7068262045052837,70.68
treatment,0,3%,26536863739.10312,50,0.6915178006364924,69.15
treatment,0,6%,17127230462.083422,50,0.6936250089621103,69.36
treatment,0,undiscounted,46780503857.10147,50,0.6880094118662012,68.8
treatment,25,3%,26634137480.03085,50,0.6998325601958835,69.98
treatment,25,6%,17115135694.811913,50,0.7008441582466822,70.08
treatment,25,undiscounted,47262063860.93941,50,0.697962164409064,69.8
treatment,50,3%,26729645073.06365,50,0.7052685884775288,70.53
treatment,50,6%,17092173243.321049,50,0.7056772713766575,70.57
treatment,50,undiscounted,47793139078.76871,50,0.704418253097004,70.44
treatment,75,3%,26805135937.30305,50,0.7074538379221293,70.75
treatment,75,6%,17051017330.477058,50,0.7078890083808818,70.79
treatment,75,undiscounted,48326809478.6959,50,0.706833709225286,70.68
treatment,100,3%,26839252081.59695,50,0.7064644076418964,70.65
treatment,100,6%,16987584738.351778,50,0.7075834969019903,70.76
treatment,100,undiscounted,48784230243.246704,50,0.7052553248742136,70.53
