"years","TotalHIVtests_baseline","TotalHIVtests_2025","TotalHIVtests_2030","TotalHIVtests_2035","TotalHIVtests_2040","TotalHIVtests_2045","TotalHIVtests_2050","TotalHIVtests_2055","TotalHIVtests_2060","TotalHIVtests_2065","BirthsDiagHIV_baseline","BirthsDiagHIV_2025","BirthsDiagHIV_2030","BirthsDiagHIV_2035","BirthsDiagHIV_2040","BirthsDiagHIV_2045","BirthsDiagHIV_2050","BirthsDiagHIV_2055","BirthsDiagHIV_2060","BirthsDiagHIV_2065","TotBirthsHIV_baseline","TotBirthsHIV_2025","TotBirthsHIV_2030","TotBirthsHIV_2035","TotBirthsHIV_2040","TotBirthsHIV_2045","TotBirthsHIV_2050","TotBirthsHIV_2055","TotBirthsHIV_2060","TotBirthsHIV_2065","TotBirthDiagnosed_baseline","TotBirthDiagnosed_2025","TotBirthDiagnosed_2030","TotBirthDiagnosed_2035","TotBirthDiagnosed_2040","TotBirthDiagnosed_2045","TotBirthDiagnosed_2050","TotBirthDiagnosed_2055","TotBirthDiagnosed_2060","TotBirthDiagnosed_2065","VertTransmKnownPos_baseline","VertTransmKnownPos_2025","VertTransmKnownPos_2030","VertTransmKnownPos_2035","VertTransmKnownPos_2040","VertTransmKnownPos_2045","VertTransmKnownPos_2050","VertTransmKnownPos_2055","VertTransmKnownPos_2060","VertTransmKnownPos_2065","PrevPreg15to49_baseline","PrevPreg15to49_2025","PrevPreg15to49_2030","PrevPreg15to49_2035","PrevPreg15to49_2040","PrevPreg15to49_2045","PrevPreg15to49_2050","PrevPreg15to49_2055","PrevPreg15to49_2060","PrevPreg15to49_2065","MTCTrateAtBirth_baseline","MTCTrateAtBirth_2025","MTCTrateAtBirth_2030","MTCTrateAtBirth_2035","MTCTrateAtBirth_2040","MTCTrateAtBirth_2045","MTCTrateAtBirth_2050","MTCTrateAtBirth_2055","MTCTrateAtBirth_2060","MTCTrateAtBirth_2065","pct_vert_trans_baseline","pct_vert_trans_2025","pct_vert_trans_2030","pct_vert_trans_2035","pct_vert_trans_2040","pct_vert_trans_2045","pct_vert_trans_2050","pct_vert_trans_2055","pct_vert_trans_2060","pct_vert_trans_2065"
1985,10.0119,10.0119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.151,430.151,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.000391557,0.000391557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1986,31.2943,31.2943,NA,NA,NA,NA,NA,NA,NA,NA,0.00128287,0.00128287,NA,NA,NA,NA,NA,NA,NA,NA,928.4,928.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.000810525,0.000810525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1987,91.5963,91.5963,NA,NA,NA,NA,NA,NA,NA,NA,0.00175786,0.00175786,NA,NA,NA,NA,NA,NA,NA,NA,2323.98,2323.98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0020239,0.0020239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1988,236.004,236.004,NA,NA,NA,NA,NA,NA,NA,NA,0.00196052,0.00196052,NA,NA,NA,NA,NA,NA,NA,NA,5377.74,5377.74,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.00473848,0.00473848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1989,531.325,531.325,NA,NA,NA,NA,NA,NA,NA,NA,0.00226477,0.00226477,NA,NA,NA,NA,NA,NA,NA,NA,10858.2,10858.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.00970622,0.00970622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1990,1065.5,1065.5,NA,NA,NA,NA,NA,NA,NA,NA,0.00274265,0.00274265,NA,NA,NA,NA,NA,NA,NA,NA,19371.2,19371.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0175634,0.0175634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1991,126762,126762,NA,NA,NA,NA,NA,NA,NA,NA,0.00337694,0.00337694,NA,NA,NA,NA,NA,NA,NA,NA,31708.1,31708.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0288189,0.0288189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1992,253661,253661,NA,NA,NA,NA,NA,NA,NA,NA,0.0076526,0.0076526,NA,NA,NA,NA,NA,NA,NA,NA,48281,48281,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0438985,0.0438985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1993,380795,380795,NA,NA,NA,NA,NA,NA,NA,NA,0.0150127,0.0150127,NA,NA,NA,NA,NA,NA,NA,NA,68678.5,68678.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0627094,0.0627094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1994,508012,508012,NA,NA,NA,NA,NA,NA,NA,NA,0.0248437,0.0248437,NA,NA,NA,NA,NA,NA,NA,NA,92129,92129,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0847311,0.0847311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1995,635197,635197,NA,NA,NA,NA,NA,NA,NA,NA,0.0368182,0.0368182,NA,NA,NA,NA,NA,NA,NA,NA,117178,117178,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.108883,0.108883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1996,762242,762242,NA,NA,NA,NA,NA,NA,NA,NA,0.0507793,0.0507793,NA,NA,NA,NA,NA,NA,NA,NA,142937,142937,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.13437,0.13437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1997,889247,889247,NA,NA,NA,NA,NA,NA,NA,NA,0.0665438,0.0665438,NA,NA,NA,NA,NA,NA,NA,NA,162117,162117,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.158478,0.158478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1998,1016050,1016050,NA,NA,NA,NA,NA,NA,NA,NA,0.0841696,0.0841696,NA,NA,NA,NA,NA,NA,NA,NA,181915,181915,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.180941,0.180941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1999,1142450,1142450,NA,NA,NA,NA,NA,NA,NA,NA,0.103429,0.103429,NA,NA,NA,NA,NA,NA,NA,NA,204225,204225,NA,NA,NA,NA,NA,NA,NA,NA,1702.6,1702.6,NA,NA,NA,NA,NA,NA,NA,NA,231.818,231.818,NA,NA,NA,NA,NA,NA,NA,NA,0.201001,0.201001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113511078467377,0.113511078467377,NA,NA,NA,NA,NA,NA,NA,NA
2000,1268190,1268190,NA,NA,NA,NA,NA,NA,NA,NA,0.124364,0.124364,NA,NA,NA,NA,NA,NA,NA,NA,218565,218565,NA,NA,NA,NA,NA,NA,NA,NA,6116.82,6116.82,NA,NA,NA,NA,NA,NA,NA,NA,817.094,817.094,NA,NA,NA,NA,NA,NA,NA,NA,0.218245,0.218245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.373844851645963,0.373844851645963,NA,NA,NA,NA,NA,NA,NA,NA
2001,1393490,1393490,NA,NA,NA,NA,NA,NA,NA,NA,0.14793,0.14793,NA,NA,NA,NA,NA,NA,NA,NA,232437,232437,NA,NA,NA,NA,NA,NA,NA,NA,16947.5,16947.5,NA,NA,NA,NA,NA,NA,NA,NA,2294.44,2294.44,NA,NA,NA,NA,NA,NA,NA,NA,0.232332,0.232332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.987123392575192,0.987123392575192,NA,NA,NA,NA,NA,NA,NA,NA
2002,1517770,1517770,NA,NA,NA,NA,NA,NA,NA,NA,0.174394,0.174394,NA,NA,NA,NA,NA,NA,NA,NA,243748,243748,NA,NA,NA,NA,NA,NA,NA,NA,36729.8,36729.8,NA,NA,NA,NA,NA,NA,NA,NA,5095.04,5095.04,NA,NA,NA,NA,NA,NA,NA,NA,0.243225,0.243225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09028997161002,2.09028997161002,NA,NA,NA,NA,NA,NA,NA,NA
2003,1647320,1647320,NA,NA,NA,NA,NA,NA,NA,NA,0.203688,0.203688,NA,NA,NA,NA,NA,NA,NA,NA,258185,258185,NA,NA,NA,NA,NA,NA,NA,NA,77360.3,77360.3,NA,NA,NA,NA,NA,NA,NA,NA,10909.1,10909.1,NA,NA,NA,NA,NA,NA,NA,NA,0.250597,0.250597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22530356139977,4.22530356139977,NA,NA,NA,NA,NA,NA,NA,NA
2004,1775100,1775100,NA,NA,NA,NA,NA,NA,NA,NA,0.238931,0.238931,NA,NA,NA,NA,NA,NA,NA,NA,280733,280733,NA,NA,NA,NA,NA,NA,NA,NA,113873,113873,NA,NA,NA,NA,NA,NA,NA,NA,15275.3,15275.3,NA,NA,NA,NA,NA,NA,NA,NA,0.255458,0.255458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4412199492044,5.4412199492044,NA,NA,NA,NA,NA,NA,NA,NA
2005,2203360,2203360,NA,NA,NA,NA,NA,NA,NA,NA,0.282905,0.282905,NA,NA,NA,NA,NA,NA,NA,NA,290797,290797,NA,NA,NA,NA,NA,NA,NA,NA,154381,154381,NA,NA,NA,NA,NA,NA,NA,NA,19426.7,19426.7,NA,NA,NA,NA,NA,NA,NA,NA,0.258146,0.258146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.68050220600625,6.68050220600625,NA,NA,NA,NA,NA,NA,NA,NA
2006,2436790,2436790,NA,NA,NA,NA,NA,NA,NA,NA,0.345532,0.345532,NA,NA,NA,NA,NA,NA,NA,NA,299099,299099,NA,NA,NA,NA,NA,NA,NA,NA,209487,209487,NA,NA,NA,NA,NA,NA,NA,NA,25288,25288,NA,NA,NA,NA,NA,NA,NA,NA,0.259687,0.259687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4547256928308,8.4547256928308,NA,NA,NA,NA,NA,NA,NA,NA
2007,2764850,2764850,NA,NA,NA,NA,NA,NA,NA,NA,0.417988,0.417988,NA,NA,NA,NA,NA,NA,NA,NA,307419,307419,NA,NA,NA,NA,NA,NA,NA,NA,251005,251005,NA,NA,NA,NA,NA,NA,NA,NA,26482.4,26482.4,NA,NA,NA,NA,NA,NA,NA,NA,0.261568,0.261568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.61443176901883,8.61443176901883,NA,NA,NA,NA,NA,NA,NA,NA
2008,3463450,3463450,NA,NA,NA,NA,NA,NA,NA,NA,0.490753,0.490753,NA,NA,NA,NA,NA,NA,NA,NA,309604,309604,NA,NA,NA,NA,NA,NA,NA,NA,269689,269689,NA,NA,NA,NA,NA,NA,NA,NA,19815.5,19815.5,NA,NA,NA,NA,NA,NA,NA,NA,0.263638,0.263638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.40027260629708,6.40027260629708,NA,NA,NA,NA,NA,NA,NA,NA
2009,7784570,7784570,NA,NA,NA,NA,NA,NA,NA,NA,0.558442,0.558442,NA,NA,NA,NA,NA,NA,NA,NA,305409,305409,NA,NA,NA,NA,NA,NA,NA,NA,278336,278336,NA,NA,NA,NA,NA,NA,NA,NA,11939.4,11939.4,NA,NA,NA,NA,NA,NA,NA,NA,0.264671,0.264671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.90931504965473,3.90931504965473,NA,NA,NA,NA,NA,NA,NA,NA
2010,10651600,10651600,NA,NA,NA,NA,NA,NA,NA,NA,0.662169,0.662169,NA,NA,NA,NA,NA,NA,NA,NA,307063,307063,NA,NA,NA,NA,NA,NA,NA,NA,290319,290319,NA,NA,NA,NA,NA,NA,NA,NA,8955.5,8955.5,NA,NA,NA,NA,NA,NA,NA,NA,0.265825,0.265825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91650247669045,2.91650247669045,NA,NA,NA,NA,NA,NA,NA,NA
2011,9802170,9802170,NA,NA,NA,NA,NA,NA,NA,NA,0.749138,0.749138,NA,NA,NA,NA,NA,NA,NA,NA,313153,313153,NA,NA,NA,NA,NA,NA,NA,NA,299968,299968,NA,NA,NA,NA,NA,NA,NA,NA,7838.47,7838.47,NA,NA,NA,NA,NA,NA,NA,NA,0.268764,0.268764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.503079964107,2.503079964107,NA,NA,NA,NA,NA,NA,NA,NA
2012,10024700,10024700,NA,NA,NA,NA,NA,NA,NA,NA,0.795503,0.795503,NA,NA,NA,NA,NA,NA,NA,NA,319900,319900,NA,NA,NA,NA,NA,NA,NA,NA,307753,307753,NA,NA,NA,NA,NA,NA,NA,NA,7127.33,7127.33,NA,NA,NA,NA,NA,NA,NA,NA,0.272654,0.272654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22798687089716,2.22798687089716,NA,NA,NA,NA,NA,NA,NA,NA
2013,8339360,8339360,NA,NA,NA,NA,NA,NA,NA,NA,0.825207,0.825207,NA,NA,NA,NA,NA,NA,NA,NA,324521,324521,NA,NA,NA,NA,NA,NA,NA,NA,313002,313002,NA,NA,NA,NA,NA,NA,NA,NA,6092.57,6092.57,NA,NA,NA,NA,NA,NA,NA,NA,0.275452,0.275452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87740392763488,1.87740392763488,NA,NA,NA,NA,NA,NA,NA,NA
2014,9673110,9673110,NA,NA,NA,NA,NA,NA,NA,NA,0.836976,0.836976,NA,NA,NA,NA,NA,NA,NA,NA,325150,325150,NA,NA,NA,NA,NA,NA,NA,NA,314574,314574,NA,NA,NA,NA,NA,NA,NA,NA,4212.31,4212.31,NA,NA,NA,NA,NA,NA,NA,NA,0.276874,0.276874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29549746270952,1.29549746270952,NA,NA,NA,NA,NA,NA,NA,NA
2015,12462000,12462000,NA,NA,NA,NA,NA,NA,NA,NA,0.852155,0.852155,NA,NA,NA,NA,NA,NA,NA,NA,323609,323609,NA,NA,NA,NA,NA,NA,NA,NA,314220,314220,NA,NA,NA,NA,NA,NA,NA,NA,3569.04,3569.04,NA,NA,NA,NA,NA,NA,NA,NA,0.277501,0.277501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10288650810083,1.10288650810083,NA,NA,NA,NA,NA,NA,NA,NA
2016,13662800,13662800,NA,NA,NA,NA,NA,NA,NA,NA,0.872398,0.872398,NA,NA,NA,NA,NA,NA,NA,NA,314401,314401,NA,NA,NA,NA,NA,NA,NA,NA,306426,306426,NA,NA,NA,NA,NA,NA,NA,NA,2840.59,2840.59,NA,NA,NA,NA,NA,NA,NA,NA,0.277297,0.277297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90349267336936,0.90349267336936,NA,NA,NA,NA,NA,NA,NA,NA
2017,13121700,13121700,NA,NA,NA,NA,NA,NA,NA,NA,0.888988,0.888988,NA,NA,NA,NA,NA,NA,NA,NA,313720,313720,NA,NA,NA,NA,NA,NA,NA,NA,306607,306607,NA,NA,NA,NA,NA,NA,NA,NA,2597.02,2597.02,NA,NA,NA,NA,NA,NA,NA,NA,0.276277,0.276277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.827814611755706,0.827814611755706,NA,NA,NA,NA,NA,NA,NA,NA
2018,14015700,14015700,NA,NA,NA,NA,NA,NA,NA,NA,0.899917,0.899917,NA,NA,NA,NA,NA,NA,NA,NA,310755,310755,NA,NA,NA,NA,NA,NA,NA,NA,304272,304272,NA,NA,NA,NA,NA,NA,NA,NA,2406.09,2406.09,NA,NA,NA,NA,NA,NA,NA,NA,0.27355,0.27355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774272336728291,0.774272336728291,NA,NA,NA,NA,NA,NA,NA,NA
2019,17775800,17775800,NA,NA,NA,NA,NA,NA,NA,NA,0.909438,0.909438,NA,NA,NA,NA,NA,NA,NA,NA,305890,305890,NA,NA,NA,NA,NA,NA,NA,NA,299922,299922,NA,NA,NA,NA,NA,NA,NA,NA,2251.06,2251.06,NA,NA,NA,NA,NA,NA,NA,NA,0.269039,0.269039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735905063911864,0.735905063911864,NA,NA,NA,NA,NA,NA,NA,NA
2020,13675300,13675300,NA,NA,NA,NA,NA,NA,NA,NA,0.92179,0.92179,NA,NA,NA,NA,NA,NA,NA,NA,299212,299212,NA,NA,NA,NA,NA,NA,NA,NA,293528,293528,NA,NA,NA,NA,NA,NA,NA,NA,2200.74,2200.74,NA,NA,NA,NA,NA,NA,NA,NA,0.263036,0.263036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7355119447081,0.7355119447081,NA,NA,NA,NA,NA,NA,NA,NA
2021,13178400,13178400,NA,NA,NA,NA,NA,NA,NA,NA,0.920186,0.920186,NA,NA,NA,NA,NA,NA,NA,NA,290252,290252,NA,NA,NA,NA,NA,NA,NA,NA,284964,284964,NA,NA,NA,NA,NA,NA,NA,NA,2083.53,2083.53,NA,NA,NA,NA,NA,NA,NA,NA,0.25631,0.25631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.717834846960572,0.717834846960572,NA,NA,NA,NA,NA,NA,NA,NA
2022,13808300,13808300,NA,NA,NA,NA,NA,NA,NA,NA,0.917644,0.917644,NA,NA,NA,NA,NA,NA,NA,NA,281015,281015,NA,NA,NA,NA,NA,NA,NA,NA,276043,276043,NA,NA,NA,NA,NA,NA,NA,NA,1961.93,1961.93,NA,NA,NA,NA,NA,NA,NA,NA,0.248947,0.248947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698158461292102,0.698158461292102,NA,NA,NA,NA,NA,NA,NA,NA
2023,14125500,14125500,NA,NA,NA,NA,NA,NA,NA,NA,0.919284,0.919284,NA,NA,NA,NA,NA,NA,NA,NA,271113,271113,NA,NA,NA,NA,NA,NA,NA,NA,266465,266465,NA,NA,NA,NA,NA,NA,NA,NA,1839.31,1839.31,NA,NA,NA,NA,NA,NA,NA,NA,0.240706,0.240706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.678429289631998,0.678429289631998,NA,NA,NA,NA,NA,NA,NA,NA
2024,14455900,14455900,NA,NA,NA,NA,NA,NA,NA,NA,0.921376,0.921376,NA,NA,NA,NA,NA,NA,NA,NA,260625,260625,NA,NA,NA,NA,NA,NA,NA,NA,256202,256202,NA,NA,NA,NA,NA,NA,NA,NA,1741.92,1741.92,NA,NA,NA,NA,NA,NA,NA,NA,0.231827,0.231827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.668362589928058,0.668362589928058,NA,NA,NA,NA,NA,NA,NA,NA
2025,14805000,3182660,NA,NA,NA,NA,NA,NA,NA,NA,0.922398,0.922398,NA,NA,NA,NA,NA,NA,NA,NA,249989,250724,NA,NA,NA,NA,NA,NA,NA,NA,245744,246419,NA,NA,NA,NA,NA,NA,NA,NA,1655.89,1686.68,NA,NA,NA,NA,NA,NA,NA,NA,0.222741,0.223377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.662385144946378,0.672723791898661,NA,NA,NA,NA,NA,NA,NA,NA
