"years","TotalHIVtests_baseline","TotalHIVtests_2025","TotalHIVtests_2030","TotalHIVtests_2035","TotalHIVtests_2040","TotalHIVtests_2045","TotalHIVtests_2050","TotalHIVtests_2055","TotalHIVtests_2060","TotalHIVtests_2065","BirthsDiagHIV_baseline","BirthsDiagHIV_2025","BirthsDiagHIV_2030","BirthsDiagHIV_2035","BirthsDiagHIV_2040","BirthsDiagHIV_2045","BirthsDiagHIV_2050","BirthsDiagHIV_2055","BirthsDiagHIV_2060","BirthsDiagHIV_2065","TotBirthsHIV_baseline","TotBirthsHIV_2025","TotBirthsHIV_2030","TotBirthsHIV_2035","TotBirthsHIV_2040","TotBirthsHIV_2045","TotBirthsHIV_2050","TotBirthsHIV_2055","TotBirthsHIV_2060","TotBirthsHIV_2065","TotBirthDiagnosed_baseline","TotBirthDiagnosed_2025","TotBirthDiagnosed_2030","TotBirthDiagnosed_2035","TotBirthDiagnosed_2040","TotBirthDiagnosed_2045","TotBirthDiagnosed_2050","TotBirthDiagnosed_2055","TotBirthDiagnosed_2060","TotBirthDiagnosed_2065","VertTransmKnownPos_baseline","VertTransmKnownPos_2025","VertTransmKnownPos_2030","VertTransmKnownPos_2035","VertTransmKnownPos_2040","VertTransmKnownPos_2045","VertTransmKnownPos_2050","VertTransmKnownPos_2055","VertTransmKnownPos_2060","VertTransmKnownPos_2065","PrevPreg15to49_baseline","PrevPreg15to49_2025","PrevPreg15to49_2030","PrevPreg15to49_2035","PrevPreg15to49_2040","PrevPreg15to49_2045","PrevPreg15to49_2050","PrevPreg15to49_2055","PrevPreg15to49_2060","PrevPreg15to49_2065","MTCTrateAtBirth_baseline","MTCTrateAtBirth_2025","MTCTrateAtBirth_2030","MTCTrateAtBirth_2035","MTCTrateAtBirth_2040","MTCTrateAtBirth_2045","MTCTrateAtBirth_2050","MTCTrateAtBirth_2055","MTCTrateAtBirth_2060","MTCTrateAtBirth_2065","pct_vert_trans_baseline","pct_vert_trans_2025","pct_vert_trans_2030","pct_vert_trans_2035","pct_vert_trans_2040","pct_vert_trans_2045","pct_vert_trans_2050","pct_vert_trans_2055","pct_vert_trans_2060","pct_vert_trans_2065"
2026,15113800,3332560,NA,NA,NA,NA,NA,NA,NA,NA,0.922666,0.896594,NA,NA,NA,NA,NA,NA,NA,NA,239399,241334,NA,NA,NA,NA,NA,NA,NA,NA,235314,237027,NA,NA,NA,NA,NA,NA,NA,NA,1576.7,1667.83,NA,NA,NA,NA,NA,NA,NA,NA,0.213587,0.215046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65860759652296,0.691087869923011,NA,NA,NA,NA,NA,NA,NA,NA
2027,15378900,3448340,NA,NA,NA,NA,NA,NA,NA,NA,0.922439,0.872064,NA,NA,NA,NA,NA,NA,NA,NA,228983,231911,NA,NA,NA,NA,NA,NA,NA,NA,225050,227596,NA,NA,NA,NA,NA,NA,NA,NA,1502.87,1650.28,NA,NA,NA,NA,NA,NA,NA,NA,0.204501,0.206698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.656323831900185,0.711600570908668,NA,NA,NA,NA,NA,NA,NA,NA
2028,15638800,3552280,NA,NA,NA,NA,NA,NA,NA,NA,0.921973,0.851218,NA,NA,NA,NA,NA,NA,NA,NA,218848,222712,NA,NA,NA,NA,NA,NA,NA,NA,215067,218399,NA,NA,NA,NA,NA,NA,NA,NA,1433.38,1631.98,NA,NA,NA,NA,NA,NA,NA,NA,0.195577,0.198532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654966003801726,0.732775961780236,NA,NA,NA,NA,NA,NA,NA,NA
2029,15899300,3649810,NA,NA,NA,NA,NA,NA,NA,NA,0.921501,0.833695,NA,NA,NA,NA,NA,NA,NA,NA,209055,213904,NA,NA,NA,NA,NA,NA,NA,NA,205428,209606,NA,NA,NA,NA,NA,NA,NA,NA,1367.44,1611.23,NA,NA,NA,NA,NA,NA,NA,NA,0.186878,0.190677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654105378967257,0.753249121101055,NA,NA,NA,NA,NA,NA,NA,NA
2030,16156000,3736710,NA,NA,NA,NA,NA,NA,NA,NA,0.921138,0.819069,NA,NA,NA,NA,NA,NA,NA,NA,199660,205635,NA,NA,NA,NA,NA,NA,NA,NA,196188,201366,NA,NA,NA,NA,NA,NA,NA,NA,1304.69,1587.65,NA,NA,NA,NA,NA,NA,NA,NA,0.178444,0.183231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653455874987479,0.772071874924016,NA,NA,NA,NA,NA,NA,NA,NA
2031,16407000,3813320,NA,NA,NA,NA,NA,NA,NA,NA,0.920914,0.806932,NA,NA,NA,NA,NA,NA,NA,NA,190704,197979,NA,NA,NA,NA,NA,NA,NA,NA,187385,193750,NA,NA,NA,NA,NA,NA,NA,NA,1245.02,1561.59,NA,NA,NA,NA,NA,NA,NA,NA,0.170321,0.176259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.652854685795788,0.78876547512615,NA,NA,NA,NA,NA,NA,NA,NA
2032,16648300,3880820,NA,NA,NA,NA,NA,NA,NA,NA,0.920834,0.796912,NA,NA,NA,NA,NA,NA,NA,NA,182203,190954,NA,NA,NA,NA,NA,NA,NA,NA,179035,186778,NA,NA,NA,NA,NA,NA,NA,NA,1188.31,1533.73,NA,NA,NA,NA,NA,NA,NA,NA,0.162569,0.169816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.652190139569601,0.803193439257622,NA,NA,NA,NA,NA,NA,NA,NA
2033,16880100,3939920,NA,NA,NA,NA,NA,NA,NA,NA,0.920903,0.788706,NA,NA,NA,NA,NA,NA,NA,NA,174140,184529,NA,NA,NA,NA,NA,NA,NA,NA,171121,180416,NA,NA,NA,NA,NA,NA,NA,NA,1134.39,1504.62,NA,NA,NA,NA,NA,NA,NA,NA,0.155161,0.163854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.651424141495349,0.815384031778203,NA,NA,NA,NA,NA,NA,NA,NA
2034,17103400,3993060,NA,NA,NA,NA,NA,NA,NA,NA,0.921107,0.782069,NA,NA,NA,NA,NA,NA,NA,NA,166467,178629,NA,NA,NA,NA,NA,NA,NA,NA,163593,174587,NA,NA,NA,NA,NA,NA,NA,NA,1082.89,1474.52,NA,NA,NA,NA,NA,NA,NA,NA,0.148071,0.158323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.650513314951312,0.825465070061412,NA,NA,NA,NA,NA,NA,NA,NA
2035,17320800,4044060,NA,NA,NA,NA,NA,NA,NA,NA,0.921415,0.776792,NA,NA,NA,NA,NA,NA,NA,NA,159116,173151,NA,NA,NA,NA,NA,NA,NA,NA,156382,169188,NA,NA,NA,NA,NA,NA,NA,NA,1033.4,1443.4,NA,NA,NA,NA,NA,NA,NA,NA,0.141271,0.153163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.649463284647678,0.833607660365808,NA,NA,NA,NA,NA,NA,NA,NA
2036,17531300,4092560,NA,NA,NA,NA,NA,NA,NA,NA,0.921793,0.772687,NA,NA,NA,NA,NA,NA,NA,NA,151994,167965,NA,NA,NA,NA,NA,NA,NA,NA,149397,164087,NA,NA,NA,NA,NA,NA,NA,NA,985.381,1410.96,NA,NA,NA,NA,NA,NA,NA,NA,0.134724,0.148309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.648302564574917,0.840032149554967,NA,NA,NA,NA,NA,NA,NA,NA
2037,17731700,4136290,NA,NA,NA,NA,NA,NA,NA,NA,0.922201,0.769558,NA,NA,NA,NA,NA,NA,NA,NA,145004,162932,NA,NA,NA,NA,NA,NA,NA,NA,142541,159148,NA,NA,NA,NA,NA,NA,NA,NA,938.288,1376.78,NA,NA,NA,NA,NA,NA,NA,NA,0.128386,0.143685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64707732200491,0.845002823263693,NA,NA,NA,NA,NA,NA,NA,NA
2038,17922100,4174940,NA,NA,NA,NA,NA,NA,NA,NA,0.922596,0.767195,NA,NA,NA,NA,NA,NA,NA,NA,138093,157958,NA,NA,NA,NA,NA,NA,NA,NA,135759,154273,NA,NA,NA,NA,NA,NA,NA,NA,891.861,1340.74,NA,NA,NA,NA,NA,NA,NA,NA,0.122208,0.139209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.645840846386131,0.848795249370086,NA,NA,NA,NA,NA,NA,NA,NA
2039,18103000,4208970,NA,NA,NA,NA,NA,NA,NA,NA,0.922938,0.765398,NA,NA,NA,NA,NA,NA,NA,NA,131233,152976,NA,NA,NA,NA,NA,NA,NA,NA,129026,149394,NA,NA,NA,NA,NA,NA,NA,NA,846.007,1302.84,NA,NA,NA,NA,NA,NA,NA,NA,0.116155,0.134819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.644660260757584,0.851663005961719,NA,NA,NA,NA,NA,NA,NA,NA
2040,18275700,4239450,NA,NA,NA,NA,NA,NA,NA,NA,0.923197,0.76399,NA,NA,NA,NA,NA,NA,NA,NA,124410,147932,NA,NA,NA,NA,NA,NA,NA,NA,122324,144458,NA,NA,NA,NA,NA,NA,NA,NA,800.684,1263.16,NA,NA,NA,NA,NA,NA,NA,NA,0.110209,0.130463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6435849208263,0.853878809182597,NA,NA,NA,NA,NA,NA,NA,NA
2041,18441900,4267850,NA,NA,NA,NA,NA,NA,NA,NA,0.923348,0.762811,NA,NA,NA,NA,NA,NA,NA,NA,117625,142798,NA,NA,NA,NA,NA,NA,NA,NA,115657,139434,NA,NA,NA,NA,NA,NA,NA,NA,755.952,1221.85,NA,NA,NA,NA,NA,NA,NA,NA,0.104363,0.126112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.642679702444208,0.855649238784857,NA,NA,NA,NA,NA,NA,NA,NA
2042,18604600,4297770,NA,NA,NA,NA,NA,NA,NA,NA,0.923375,0.761731,NA,NA,NA,NA,NA,NA,NA,NA,110900,137568,NA,NA,NA,NA,NA,NA,NA,NA,109046,134316,NA,NA,NA,NA,NA,NA,NA,NA,711.953,1179.2,NA,NA,NA,NA,NA,NA,NA,NA,0.098623,0.121751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64197745716862,0.857176087462201,NA,NA,NA,NA,NA,NA,NA,NA
2043,18763200,4327990,NA,NA,NA,NA,NA,NA,NA,NA,0.923273,0.760644,NA,NA,NA,NA,NA,NA,NA,NA,104265,132253,NA,NA,NA,NA,NA,NA,NA,NA,102521,129114,NA,NA,NA,NA,NA,NA,NA,NA,668.862,1135.56,NA,NA,NA,NA,NA,NA,NA,NA,0.0930047,0.117381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641501942166595,0.858627025473902,NA,NA,NA,NA,NA,NA,NA,NA
2044,18915700,4356430,NA,NA,NA,NA,NA,NA,NA,NA,0.923038,0.759464,NA,NA,NA,NA,NA,NA,NA,NA,97765.8,126890,NA,NA,NA,NA,NA,NA,NA,NA,96126.6,123863,NA,NA,NA,NA,NA,NA,NA,NA,626.95,1091.39,NA,NA,NA,NA,NA,NA,NA,NA,0.0875318,0.113017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641277420120328,0.860107179446765,NA,NA,NA,NA,NA,NA,NA,NA
2045,19062500,4383230,NA,NA,NA,NA,NA,NA,NA,NA,0.922668,0.758122,NA,NA,NA,NA,NA,NA,NA,NA,91467.1,121541,NA,NA,NA,NA,NA,NA,NA,NA,89927.6,118624,NA,NA,NA,NA,NA,NA,NA,NA,586.575,1047.33,NA,NA,NA,NA,NA,NA,NA,NA,0.0822373,0.108686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641296160040058,0.861709217465711,NA,NA,NA,NA,NA,NA,NA,NA
2046,19204600,4409290,NA,NA,NA,NA,NA,NA,NA,NA,0.922169,0.756582,NA,NA,NA,NA,NA,NA,NA,NA,85422.8,116266,NA,NA,NA,NA,NA,NA,NA,NA,83977.6,113456,NA,NA,NA,NA,NA,NA,NA,NA,548.038,1003.94,NA,NA,NA,NA,NA,NA,NA,NA,0.077152,0.10442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64155939632042,0.863485455765228,NA,NA,NA,NA,NA,NA,NA,NA
2047,19343400,4435810,NA,NA,NA,NA,NA,NA,NA,NA,0.921552,0.754827,NA,NA,NA,NA,NA,NA,NA,NA,79673.9,111116,NA,NA,NA,NA,NA,NA,NA,NA,78317.2,108409,NA,NA,NA,NA,NA,NA,NA,NA,511.546,961.679,NA,NA,NA,NA,NA,NA,NA,NA,0.0723011,0.100248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64204965490581,0.865473019187156,NA,NA,NA,NA,NA,NA,NA,NA
2048,19478600,4462240,NA,NA,NA,NA,NA,NA,NA,NA,0.920835,0.752855,NA,NA,NA,NA,NA,NA,NA,NA,74246.9,106130,NA,NA,NA,NA,NA,NA,NA,NA,72973,103522,NA,NA,NA,NA,NA,NA,NA,NA,477.222,920.887,NA,NA,NA,NA,NA,NA,NA,NA,0.0677022,0.0961942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.642750067679593,0.867697163855649,NA,NA,NA,NA,NA,NA,NA,NA
2049,19609900,4487770,NA,NA,NA,NA,NA,NA,NA,NA,0.92003,0.750667,NA,NA,NA,NA,NA,NA,NA,NA,69159.5,101345,NA,NA,NA,NA,NA,NA,NA,NA,67962.7,98830.1,NA,NA,NA,NA,NA,NA,NA,NA,445.138,881.854,NA,NA,NA,NA,NA,NA,NA,NA,0.0633668,0.0922816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.643639702426998,0.870150476096502,NA,NA,NA,NA,NA,NA,NA,NA
2050,19737600,4512380,NA,NA,NA,NA,NA,NA,NA,NA,0.919149,0.748268,NA,NA,NA,NA,NA,NA,NA,NA,64420.9,96787.5,NA,NA,NA,NA,NA,NA,NA,NA,63295.6,94360.6,NA,NA,NA,NA,NA,NA,NA,NA,415.315,844.801,NA,NA,NA,NA,NA,NA,NA,NA,0.0593029,0.0885311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.644689844444893,0.872841017693401,NA,NA,NA,NA,NA,NA,NA,NA
2051,19862000,4536170,NA,NA,NA,NA,NA,NA,NA,NA,0.918204,0.745676,NA,NA,NA,NA,NA,NA,NA,NA,60023.2,92470.3,NA,NA,NA,NA,NA,NA,NA,NA,58964.1,90125.6,NA,NA,NA,NA,NA,NA,NA,NA,387.681,809.813,NA,NA,NA,NA,NA,NA,NA,NA,0.0555063,0.0849529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.645885257700356,0.875754701779923,NA,NA,NA,NA,NA,NA,NA,NA
2052,19983600,4559270,NA,NA,NA,NA,NA,NA,NA,NA,0.917203,0.7429,NA,NA,NA,NA,NA,NA,NA,NA,55953.2,88399.8,NA,NA,NA,NA,NA,NA,NA,NA,54955.3,86131.9,NA,NA,NA,NA,NA,NA,NA,NA,362.134,776.932,NA,NA,NA,NA,NA,NA,NA,NA,0.0519679,0.0815533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647208738731654,0.878884341367288,NA,NA,NA,NA,NA,NA,NA,NA
2053,20102600,4581880,NA,NA,NA,NA,NA,NA,NA,NA,0.916151,0.739953,NA,NA,NA,NA,NA,NA,NA,NA,52206.8,84592.7,NA,NA,NA,NA,NA,NA,NA,NA,51265.2,82395.9,NA,NA,NA,NA,NA,NA,NA,NA,338.627,746.259,NA,NA,NA,NA,NA,NA,NA,NA,0.0486858,0.078346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.648626232598052,0.882178958704475,NA,NA,NA,NA,NA,NA,NA,NA
2054,20219000,4604090,NA,NA,NA,NA,NA,NA,NA,NA,0.915065,0.73688,NA,NA,NA,NA,NA,NA,NA,NA,48775.1,81058.5,NA,NA,NA,NA,NA,NA,NA,NA,47885.4,78927.5,NA,NA,NA,NA,NA,NA,NA,NA,317.09,717.838,NA,NA,NA,NA,NA,NA,NA,NA,0.0456563,0.0753421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.650106304241303,0.885580167409957,NA,NA,NA,NA,NA,NA,NA,NA
2055,20332700,4625880,NA,NA,NA,NA,NA,NA,NA,NA,0.913968,0.733737,NA,NA,NA,NA,NA,NA,NA,NA,45641.6,77795.4,NA,NA,NA,NA,NA,NA,NA,NA,44799.5,75725.2,NA,NA,NA,NA,NA,NA,NA,NA,297.408,691.632,NA,NA,NA,NA,NA,NA,NA,NA,0.0428702,0.0725465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.651616069550585,0.88903971185957,NA,NA,NA,NA,NA,NA,NA,NA
2056,20443300,4647160,NA,NA,NA,NA,NA,NA,NA,NA,0.912879,0.730573,NA,NA,NA,NA,NA,NA,NA,NA,42791.2,74802.4,NA,NA,NA,NA,NA,NA,NA,NA,41993.1,72788.1,NA,NA,NA,NA,NA,NA,NA,NA,279.48,667.606,NA,NA,NA,NA,NA,NA,NA,NA,0.0403189,0.0699628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653124941576773,0.89249275424318,NA,NA,NA,NA,NA,NA,NA,NA
2057,20550600,4667800,NA,NA,NA,NA,NA,NA,NA,NA,0.911824,0.727451,NA,NA,NA,NA,NA,NA,NA,NA,40206.4,72073.4,NA,NA,NA,NA,NA,NA,NA,NA,39448.7,70110.6,NA,NA,NA,NA,NA,NA,NA,NA,263.189,645.688,NA,NA,NA,NA,NA,NA,NA,NA,0.0379909,0.0675909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654594790879064,0.89587559349219,NA,NA,NA,NA,NA,NA,NA,NA
2058,20653900,4687610,NA,NA,NA,NA,NA,NA,NA,NA,0.910826,0.724432,NA,NA,NA,NA,NA,NA,NA,NA,37859.6,69587.6,NA,NA,NA,NA,NA,NA,NA,NA,37139.3,67672.3,NA,NA,NA,NA,NA,NA,NA,NA,248.358,625.696,NA,NA,NA,NA,NA,NA,NA,NA,0.0358663,0.0654196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.655997422054116,0.899148698906127,NA,NA,NA,NA,NA,NA,NA,NA
2059,20753000,4706380,NA,NA,NA,NA,NA,NA,NA,NA,0.909897,0.721545,NA,NA,NA,NA,NA,NA,NA,NA,35720.8,67319.7,NA,NA,NA,NA,NA,NA,NA,NA,35035.2,65448.4,NA,NA,NA,NA,NA,NA,NA,NA,234.797,607.42,NA,NA,NA,NA,NA,NA,NA,NA,0.0339226,0.0634328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.657311706344763,0.902291602606666,NA,NA,NA,NA,NA,NA,NA,NA
2060,20847200,4723910,NA,NA,NA,NA,NA,NA,NA,NA,0.909034,0.718801,NA,NA,NA,NA,NA,NA,NA,NA,33766.3,65250.1,NA,NA,NA,NA,NA,NA,NA,NA,33112.9,63419.6,NA,NA,NA,NA,NA,NA,NA,NA,222.361,590.695,NA,NA,NA,NA,NA,NA,NA,NA,0.0321409,0.0616171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.658529362115482,0.905278306086887,NA,NA,NA,NA,NA,NA,NA,NA
2061,20936000,4740020,NA,NA,NA,NA,NA,NA,NA,NA,0.908239,0.716219,NA,NA,NA,NA,NA,NA,NA,NA,31977.8,63362.9,NA,NA,NA,NA,NA,NA,NA,NA,31354.5,61570.4,NA,NA,NA,NA,NA,NA,NA,NA,210.935,575.382,NA,NA,NA,NA,NA,NA,NA,NA,0.0305069,0.0599615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.659629492960742,0.908073967574085,NA,NA,NA,NA,NA,NA,NA,NA
2062,21019200,4754600,NA,NA,NA,NA,NA,NA,NA,NA,0.90752,0.713827,NA,NA,NA,NA,NA,NA,NA,NA,30338.2,61641.9,NA,NA,NA,NA,NA,NA,NA,NA,29743.1,59885,NA,NA,NA,NA,NA,NA,NA,NA,200.414,561.339,NA,NA,NA,NA,NA,NA,NA,NA,0.0290066,0.0584543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.660599508210771,0.9106451942591,NA,NA,NA,NA,NA,NA,NA,NA
2063,21096500,4767610,NA,NA,NA,NA,NA,NA,NA,NA,0.906884,0.711645,NA,NA,NA,NA,NA,NA,NA,NA,28829.8,60068.9,NA,NA,NA,NA,NA,NA,NA,NA,28261.2,58345.5,NA,NA,NA,NA,NA,NA,NA,NA,190.693,548.423,NA,NA,NA,NA,NA,NA,NA,NA,0.0276251,0.0570812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.661444061353183,0.912989916579128,NA,NA,NA,NA,NA,NA,NA,NA
2064,21167700,4779040,NA,NA,NA,NA,NA,NA,NA,NA,0.906327,0.709678,NA,NA,NA,NA,NA,NA,NA,NA,27435.3,58624.7,NA,NA,NA,NA,NA,NA,NA,NA,26891.7,56932.8,NA,NA,NA,NA,NA,NA,NA,NA,181.667,536.479,NA,NA,NA,NA,NA,NA,NA,NA,0.0263478,0.0558269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.662165166774192,0.915107454707658,NA,NA,NA,NA,NA,NA,NA,NA
2065,21232800,4788910,NA,NA,NA,NA,NA,NA,NA,NA,0.905843,0.707919,NA,NA,NA,NA,NA,NA,NA,NA,26137.2,57287,NA,NA,NA,NA,NA,NA,NA,NA,25617.3,55625.3,NA,NA,NA,NA,NA,NA,NA,NA,173.233,525.333,NA,NA,NA,NA,NA,NA,NA,NA,0.02516,0.0546744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.662783312673125,0.917019568139368,NA,NA,NA,NA,NA,NA,NA,NA
2066,21291700,4797270,NA,NA,NA,NA,NA,NA,NA,NA,0.905419,0.706345,NA,NA,NA,NA,NA,NA,NA,NA,24921.3,56037.5,NA,NA,NA,NA,NA,NA,NA,NA,24423.9,54404.7,NA,NA,NA,NA,NA,NA,NA,NA,165.306,514.843,NA,NA,NA,NA,NA,NA,NA,NA,0.0240497,0.0536092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.663312106511298,0.918747267454829,NA,NA,NA,NA,NA,NA,NA,NA
2067,21344700,4804210,NA,NA,NA,NA,NA,NA,NA,NA,0.905041,0.704934,NA,NA,NA,NA,NA,NA,NA,NA,23777.7,54863,NA,NA,NA,NA,NA,NA,NA,NA,23301.6,53258.1,NA,NA,NA,NA,NA,NA,NA,NA,157.828,504.905,NA,NA,NA,NA,NA,NA,NA,NA,0.0230078,0.0526202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.663764788015662,0.920301478227585,NA,NA,NA,NA,NA,NA,NA,NA
2068,21391900,4809850,NA,NA,NA,NA,NA,NA,NA,NA,0.904701,0.703673,NA,NA,NA,NA,NA,NA,NA,NA,22698,53752.5,NA,NA,NA,NA,NA,NA,NA,NA,22242.4,52174.6,NA,NA,NA,NA,NA,NA,NA,NA,150.75,495.433,NA,NA,NA,NA,NA,NA,NA,NA,0.0220268,0.0516979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664155432196669,0.921692944514209,NA,NA,NA,NA,NA,NA,NA,NA
2069,21433700,4814340,NA,NA,NA,NA,NA,NA,NA,NA,0.904392,0.70255,NA,NA,NA,NA,NA,NA,NA,NA,21675.1,52695.4,NA,NA,NA,NA,NA,NA,NA,NA,21239,51143.8,NA,NA,NA,NA,NA,NA,NA,NA,144.03,486.344,NA,NA,NA,NA,NA,NA,NA,NA,0.0210998,0.0508327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664495204174375,0.92293444968631,NA,NA,NA,NA,NA,NA,NA,NA
2070,21470300,4817820,NA,NA,NA,NA,NA,NA,NA,NA,0.904105,0.701549,NA,NA,NA,NA,NA,NA,NA,NA,20701.9,51680.4,NA,NA,NA,NA,NA,NA,NA,NA,20284.3,50154.5,NA,NA,NA,NA,NA,NA,NA,NA,137.627,477.557,NA,NA,NA,NA,NA,NA,NA,NA,0.0202204,0.0500148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664803713668794,0.92405825032314,NA,NA,NA,NA,NA,NA,NA,NA
