indicator,intervention_year,parameter_set,scenario,value
LYlostAIDS,2025,1,baseline,28553610
LYlostAIDS,2025,1,intervention,32947010
LYlostAIDS,2025,1,percent_change,15.386495788098248
LYlostAIDS,2025,2,baseline,28635060
LYlostAIDS,2025,2,intervention,32377710
LYlostAIDS,2025,2,percent_change,13.07016643233854
NewAdultHIV,2025,1,baseline,2461812.4
NewAdultHIV,2025,1,intervention,2794996
NewAdultHIV,2025,1,percent_change,13.534077576341726
NewAdultHIV,2025,2,baseline,2373056.9
NewAdultHIV,2025,2,intervention,2668660
NewAdultHIV,2025,2,percent_change,12.456637681127667
NewDiagnosesPregnancy,2025,1,baseline,197152.37
NewDiagnosesPregnancy,2025,1,intervention,344599.8
NewDiagnosesPregnancy,2025,1,percent_change,74.78856581840736
NewDiagnosesPregnancy,2025,2,baseline,194294.84
NewDiagnosesPregnancy,2025,2,intervention,332694.8
NewDiagnosesPregnancy,2025,2,percent_change,71.23192772386544
Number1stHIVtestsPos,2025,1,baseline,2565423.5
Number1stHIVtestsPos,2025,1,intervention,2651425
Number1stHIVtestsPos,2025,1,percent_change,3.3523314961447883
Number1stHIVtestsPos,2025,2,baseline,2485874.5
Number1stHIVtestsPos,2025,2,intervention,2546054.3
Number1stHIVtestsPos,2025,2,percent_change,2.4208704019450624
RediagnosesPregnancy,2025,1,baseline,594479.7
RediagnosesPregnancy,2025,1,intervention,616269.8
RediagnosesPregnancy,2025,1,percent_change,3.665406909605171
RediagnosesPregnancy,2025,2,baseline,549744.2
RediagnosesPregnancy,2025,2,intervention,562799.4
RediagnosesPregnancy,2025,2,percent_change,2.3747772145663513
StartingARTtot,2025,1,baseline,2695189.4
StartingARTtot,2025,1,intervention,2723560
StartingARTtot,2025,1,percent_change,1.0526384527929686
StartingARTtot,2025,2,baseline,2660545.9
StartingARTtot,2025,2,intervention,2673281.1
StartingARTtot,2025,2,percent_change,0.47866868224300085
TotalAIDSdeathsadult,2025,1,baseline,895922.8
TotalAIDSdeathsadult,2025,1,intervention,1006950.6
TotalAIDSdeathsadult,2025,1,percent_change,12.392563287818986
TotalAIDSdeathsadult,2025,2,baseline,892401.9
TotalAIDSdeathsadult,2025,2,intervention,983756.7
TotalAIDSdeathsadult,2025,2,percent_change,10.236957137809762
TotalHIVtests,2025,1,baseline,479975100
TotalHIVtests,2025,1,intervention,238050870
TotalHIVtests,2025,1,percent_change,-50.403495931351436
TotalHIVtests,2025,2,baseline,393209100
TotalHIVtests,2025,2,intervention,202491000
TotalHIVtests,2025,2,percent_change,-48.50297208279259
TotANCtests,2025,1,baseline,39784620
TotANCtests,2025,1,intervention,39724940
TotANCtests,2025,1,percent_change,-0.1500077165497622
TotANCtests,2025,2,baseline,40101980
TotANCtests,2025,2,intervention,40048050
TotANCtests,2025,2,percent_change,-0.13448213778970514
TotHIV15,2025,1,baseline,169160930
TotHIV15,2025,1,intervention,170847570
TotHIV15,2025,1,percent_change,0.9970623831401259
TotHIV15,2025,2,baseline,170508740
TotHIV15,2025,2,intervention,172077780
TotHIV15,2025,2,percent_change,0.9202108935882114
VLsuppressed,2025,1,baseline,19.37581
VLsuppressed,2025,1,intervention,19.363827
VLsuppressed,2025,1,percent_change,-0.061845156408948804
VLsuppressed,2025,2,baseline,19.412963
VLsuppressed,2025,2,intervention,19.40175
VLsuppressed,2025,2,percent_change,-0.05776037382856739
LYlostAIDS,2030,1,baseline,25166454
LYlostAIDS,2030,1,intervention,28828200
LYlostAIDS,2030,1,percent_change,14.550107059182832
LYlostAIDS,2030,2,baseline,25095048
LYlostAIDS,2030,2,intervention,28160250
LYlostAIDS,2030,2,percent_change,12.214369942627725
NewAdultHIV,2030,1,baseline,2069759.5
NewAdultHIV,2030,1,intervention,2359057
NewAdultHIV,2030,1,percent_change,13.977348576006051
NewAdultHIV,2030,2,baseline,1974353.6
NewAdultHIV,2030,2,intervention,2225495.9
NewAdultHIV,2030,2,percent_change,12.72022904103904
NewDiagnosesPregnancy,2030,1,baseline,150798.04
NewDiagnosesPregnancy,2030,1,intervention,265333.88
NewDiagnosesPregnancy,2030,1,percent_change,75.95313573041135
NewDiagnosesPregnancy,2030,2,baseline,146809.41
NewDiagnosesPregnancy,2030,2,intervention,252284.11
NewDiagnosesPregnancy,2030,2,percent_change,71.8446453807014
Number1stHIVtestsPos,2030,1,baseline,2137877.3
Number1stHIVtestsPos,2030,1,intervention,2214859.1
Number1stHIVtestsPos,2030,1,percent_change,3.600852116255703
Number1stHIVtestsPos,2030,2,baseline,2054352.2
Number1stHIVtestsPos,2030,2,intervention,2106006.8
Number1stHIVtestsPos,2030,2,percent_change,2.5143984561167194
RediagnosesPregnancy,2030,1,baseline,455658
RediagnosesPregnancy,2030,1,intervention,472826.6
RediagnosesPregnancy,2030,1,percent_change,3.7678697619705956
RediagnosesPregnancy,2030,2,baseline,417375.51
RediagnosesPregnancy,2030,2,intervention,427471.1
RediagnosesPregnancy,2030,2,percent_change,2.418826634078259
StartingARTtot,2030,1,baseline,2214160.2
StartingARTtot,2030,1,intervention,2243034.3
StartingARTtot,2030,1,percent_change,1.30406553238558
StartingARTtot,2030,2,baseline,2157635.9
StartingARTtot,2030,2,intervention,2170749.5
StartingARTtot,2030,2,percent_change,0.6077763166621437
TotalAIDSdeathsadult,2030,1,baseline,869586.3
TotalAIDSdeathsadult,2030,1,intervention,966175
TotalAIDSdeathsadult,2030,1,percent_change,11.107431200330542
TotalAIDSdeathsadult,2030,2,baseline,862083.2
TotalAIDSdeathsadult,2030,2,intervention,940144.1
TotalAIDSdeathsadult,2030,2,percent_change,9.054914885245418
TotalHIVtests,2030,1,baseline,508126100
TotalHIVtests,2030,1,intervention,252854400
TotalHIVtests,2030,1,percent_change,-50.237864183713455
TotalHIVtests,2030,2,baseline,415553500
TotalHIVtests,2030,2,intervention,214567750
TotalHIVtests,2030,2,percent_change,-48.3657940553984
TotANCtests,2030,1,baseline,40849120
TotANCtests,2030,1,intervention,40798420
TotANCtests,2030,1,percent_change,-0.12411528081877896
TotANCtests,2030,2,baseline,41116180
TotANCtests,2030,2,intervention,41071620
TotANCtests,2030,2,percent_change,-0.10837582674265946
TotHIV15,2030,1,baseline,166013380
TotHIV15,2030,1,intervention,167470000
TotHIV15,2030,1,percent_change,0.8774112062533754
TotHIV15,2030,2,baseline,166866870
TotHIV15,2030,2,intervention,168187430
TotHIV15,2030,2,percent_change,0.79138537206337
VLsuppressed,2030,1,baseline,19.409081
VLsuppressed,2030,1,intervention,19.399185
VLsuppressed,2030,1,percent_change,-0.05098644289238237
VLsuppressed,2030,2,baseline,19.44535
VLsuppressed,2030,2,intervention,19.436152
VLsuppressed,2030,2,percent_change,-0.04730179708774268
LYlostAIDS,2035,1,baseline,21856770
LYlostAIDS,2035,1,intervention,24884381
LYlostAIDS,2035,1,percent_change,13.852051332378936
LYlostAIDS,2035,2,baseline,21670058
LYlostAIDS,2035,2,intervention,24157719
LYlostAIDS,2035,2,percent_change,11.479715467305164
NewAdultHIV,2035,1,baseline,1724880.1
NewAdultHIV,2035,1,intervention,1969704.3
NewAdultHIV,2035,1,percent_change,14.193693810949522
NewAdultHIV,2035,2,baseline,1629118.9
NewAdultHIV,2035,2,intervention,1838266.9
NewAdultHIV,2035,2,percent_change,12.838105309563346
NewDiagnosesPregnancy,2035,1,baseline,112092.71
NewDiagnosesPregnancy,2035,1,intervention,197655.4
NewDiagnosesPregnancy,2035,1,percent_change,76.33207369150053
NewDiagnosesPregnancy,2035,2,baseline,108048.29
NewDiagnosesPregnancy,2035,2,intervention,185621.75
NewDiagnosesPregnancy,2035,2,percent_change,71.7951760273115
Number1stHIVtestsPos,2035,1,baseline,1772310
Number1stHIVtestsPos,2035,1,intervention,1836366.8
Number1stHIVtestsPos,2035,1,percent_change,3.6143112660877637
Number1stHIVtestsPos,2035,2,baseline,1688104.6
Number1stHIVtestsPos,2035,2,intervention,1729361.5
Number1stHIVtestsPos,2035,2,percent_change,2.443977701381769
RediagnosesPregnancy,2035,1,baseline,339018.52999999997
RediagnosesPregnancy,2035,1,intervention,351518.57
RediagnosesPregnancy,2035,1,percent_change,3.6871258924991617
RediagnosesPregnancy,2035,2,baseline,308066.34
RediagnosesPregnancy,2035,2,intervention,315301.13
RediagnosesPregnancy,2035,2,percent_change,2.3484519600550904
StartingARTtot,2035,1,baseline,1825440.5
StartingARTtot,2035,1,intervention,1848785.7
StartingARTtot,2035,1,percent_change,1.278880357919086
StartingARTtot,2035,2,baseline,1761740.7
StartingARTtot,2035,2,intervention,1771095.4
StartingARTtot,2035,2,percent_change,0.5309918763868005
TotalAIDSdeathsadult,2035,1,baseline,829044.7
TotalAIDSdeathsadult,2035,1,intervention,912721.7
TotalAIDSdeathsadult,2035,1,percent_change,10.093183154056712
TotalAIDSdeathsadult,2035,2,baseline,818397.6
TotalAIDSdeathsadult,2035,2,intervention,884740.6
TotalAIDSdeathsadult,2035,2,percent_change,8.106450947558987
TotalHIVtests,2035,1,baseline,531821200
TotalHIVtests,2035,1,intervention,265258600
TotalHIVtests,2035,1,percent_change,-50.122597594830744
TotalHIVtests,2035,2,baseline,434242500
TotalHIVtests,2035,2,intervention,224550670
TotalHIVtests,2035,2,percent_change,-48.28910804446824
TotANCtests,2035,1,baseline,41445840
TotANCtests,2035,1,intervention,41406630
TotANCtests,2035,1,percent_change,-0.09460539344841365
TotANCtests,2035,2,baseline,41659110
TotANCtests,2035,2,intervention,41625030
TotANCtests,2035,2,percent_change,-0.08180683648786545
TotHIV15,2035,1,baseline,158829840
TotHIV15,2035,1,intervention,160030120
TotHIV15,2035,1,percent_change,0.7557018252993266
TotHIV15,2035,2,baseline,159177590
TotHIV15,2035,2,intervention,160246530
TotHIV15,2035,2,percent_change,0.6715392537354034
VLsuppressed,2035,1,baseline,19.436084
VLsuppressed,2035,1,intervention,19.42767
VLsuppressed,2035,1,percent_change,-0.043290613479556476
VLsuppressed,2035,2,baseline,19.471432
VLsuppressed,2035,2,intervention,19.463681
VLsuppressed,2035,2,percent_change,-0.039807036277552436
LYlostAIDS,2040,1,baseline,18597909
LYlostAIDS,2040,1,intervention,21083985
LYlostAIDS,2040,1,percent_change,13.367502766036763
LYlostAIDS,2040,2,baseline,18323766
LYlostAIDS,2040,2,intervention,20333520
LYlostAIDS,2040,2,percent_change,10.968018255635878
NewAdultHIV,2040,1,baseline,1435770.6
NewAdultHIV,2040,1,intervention,1641779
NewAdultHIV,2040,1,percent_change,14.348280985834357
NewAdultHIV,2040,2,baseline,1344192.8
NewAdultHIV,2040,2,intervention,1518847
NewAdultHIV,2040,2,percent_change,12.993240255415737
NewDiagnosesPregnancy,2040,1,baseline,81932.82
NewDiagnosesPregnancy,2040,1,intervention,145061.92
NewDiagnosesPregnancy,2040,1,percent_change,77.04983180122447
NewDiagnosesPregnancy,2040,2,baseline,78450.41
NewDiagnosesPregnancy,2040,2,intervention,135177.41
NewDiagnosesPregnancy,2040,2,percent_change,72.30937352653733
Number1stHIVtestsPos,2040,1,baseline,1466207.2
Number1stHIVtestsPos,2040,1,intervention,1519095
Number1stHIVtestsPos,2040,1,percent_change,3.607116374820697
Number1stHIVtestsPos,2040,2,baseline,1385228.5
Number1stHIVtestsPos,2040,2,intervention,1418898.8
Number1stHIVtestsPos,2040,2,percent_change,2.430667575782627
RediagnosesPregnancy,2040,1,baseline,243960.43
RediagnosesPregnancy,2040,1,intervention,253217.85
RediagnosesPregnancy,2040,1,percent_change,3.7946399750156257
RediagnosesPregnancy,2040,2,baseline,220356.7
RediagnosesPregnancy,2040,2,intervention,225806.01
RediagnosesPregnancy,2040,2,percent_change,2.4729495404496427
StartingARTtot,2040,1,baseline,1499836.4
StartingARTtot,2040,1,intervention,1518149.9000000001
StartingARTtot,2040,1,percent_change,1.2210331740181952
StartingARTtot,2040,2,baseline,1435225.2
StartingARTtot,2040,2,intervention,1442174.5
StartingARTtot,2040,2,percent_change,0.48419579031918103
TotalAIDSdeathsadult,2040,1,baseline,771375.7
TotalAIDSdeathsadult,2040,1,intervention,843282.5
TotalAIDSdeathsadult,2040,1,percent_change,9.321890746623215
TotalAIDSdeathsadult,2040,2,baseline,758010.3
TotalAIDSdeathsadult,2040,2,intervention,814003.6
TotalAIDSdeathsadult,2040,2,percent_change,7.386878516030709
TotalHIVtests,2040,1,baseline,551734000
TotalHIVtests,2040,1,intervention,275740300
TotalHIVtests,2040,1,percent_change,-50.02296396451913
TotalHIVtests,2040,2,baseline,449929800
TotalHIVtests,2040,2,intervention,232939200
TotalHIVtests,2040,2,percent_change,-48.22765684780159
TotANCtests,2040,1,baseline,41600960
TotANCtests,2040,1,intervention,41570370
TotANCtests,2040,1,percent_change,-0.0735319569548395
TotANCtests,2040,2,baseline,41760820
TotANCtests,2040,2,intervention,41733960
TotANCtests,2040,2,percent_change,-0.06431866040944598
TotHIV15,2040,1,baseline,148195150
TotHIV15,2040,1,intervention,149173190
TotHIV15,2040,1,percent_change,0.6599676170239039
TotHIV15,2040,2,baseline,148052970
TotHIV15,2040,2,intervention,148918980
TotHIV15,2040,2,percent_change,0.5849325413735368
VLsuppressed,2040,1,baseline,19.461081
VLsuppressed,2040,1,intervention,19.453716
VLsuppressed,2040,1,percent_change,-0.03784476309409568
VLsuppressed,2040,2,baseline,19.495534
VLsuppressed,2040,2,intervention,19.488804
VLsuppressed,2040,2,percent_change,-0.03452072664437411
LYlostAIDS,2045,1,baseline,15517748
LYlostAIDS,2045,1,intervention,17555185
LYlostAIDS,2045,1,percent_change,13.129720884757248
LYlostAIDS,2045,2,baseline,15185331
LYlostAIDS,2045,2,intervention,16812464
LYlostAIDS,2045,2,percent_change,10.715163205859655
NewAdultHIV,2045,1,baseline,1194942.9
NewAdultHIV,2045,1,intervention,1369391.2
NewAdultHIV,2045,1,percent_change,14.598881670412874
NewAdultHIV,2045,2,baseline,1110072.6
NewAdultHIV,2045,2,intervention,1257912.3
NewAdultHIV,2045,2,percent_change,13.31802082134087
NewDiagnosesPregnancy,2045,1,baseline,59796.63
NewDiagnosesPregnancy,2045,1,intervention,107037.74
NewDiagnosesPregnancy,2045,1,percent_change,79.00296387940259
NewDiagnosesPregnancy,2045,2,baseline,57051.72
NewDiagnosesPregnancy,2045,2,intervention,99390.94
NewDiagnosesPregnancy,2045,2,percent_change,74.21199571196101
Number1stHIVtestsPos,2045,1,baseline,1213841.1
Number1stHIVtestsPos,2045,1,intervention,1259025.4
Number1stHIVtestsPos,2045,1,percent_change,3.722422976120994
Number1stHIVtestsPos,2045,2,baseline,1138477.7
Number1stHIVtestsPos,2045,2,intervention,1167967.1
Number1stHIVtestsPos,2045,2,percent_change,2.5902483641093843
RediagnosesPregnancy,2045,1,baseline,172084.64
RediagnosesPregnancy,2045,1,intervention,179486.3
RediagnosesPregnancy,2045,1,percent_change,4.301174119898192
RediagnosesPregnancy,2045,2,baseline,154869.02
RediagnosesPregnancy,2045,2,intervention,159428.45
RediagnosesPregnancy,2045,2,percent_change,2.9440555638564914
StartingARTtot,2045,1,baseline,1232384
StartingARTtot,2045,1,intervention,1248162.2
StartingARTtot,2045,1,percent_change,1.2802989977149941
StartingARTtot,2045,2,baseline,1170451.1
StartingARTtot,2045,2,intervention,1177329.1
StartingARTtot,2045,2,percent_change,0.5876366812761336
TotalAIDSdeathsadult,2045,1,baseline,699059.8
TotalAIDSdeathsadult,2045,1,intervention,760404.8
TotalAIDSdeathsadult,2045,1,percent_change,8.775357987971844
TotalAIDSdeathsadult,2045,2,baseline,683377.7
TotalAIDSdeathsadult,2045,2,intervention,730413.3
TotalAIDSdeathsadult,2045,2,percent_change,6.882811657448011
TotalHIVtests,2045,1,baseline,568459700
TotalHIVtests,2045,1,intervention,284623400
TotalHIVtests,2045,1,percent_change,-49.93076905891482
TotalHIVtests,2045,2,baseline,463149800
TotalHIVtests,2045,2,intervention,240053500
TotalHIVtests,2045,2,percent_change,-48.169361187244384
TotANCtests,2045,1,baseline,41474110
TotANCtests,2045,1,intervention,41448890
TotANCtests,2045,1,percent_change,-0.06080902037439742
TotANCtests,2045,2,baseline,41590010
TotANCtests,2045,2,intervention,41567420
TotANCtests,2045,2,percent_change,-0.054315928272198055
TotHIV15,2045,1,baseline,134765310
TotHIV15,2045,1,intervention,135574370
TotHIV15,2045,1,percent_change,0.6003473742612249
TotHIV15,2045,2,baseline,134174350
TotHIV15,2045,2,intervention,134893570
TotHIV15,2045,2,percent_change,0.5360338991767055
VLsuppressed,2045,1,baseline,19.48538
VLsuppressed,2045,1,intervention,19.478718
VLsuppressed,2045,1,percent_change,-0.034189736099571134
VLsuppressed,2045,2,baseline,19.519064
VLsuppressed,2045,2,intervention,19.513015
VLsuppressed,2045,2,percent_change,-0.030990215514436856
LYlostAIDS,2050,1,baseline,12725823
LYlostAIDS,2050,1,intervention,14391704
LYlostAIDS,2050,1,percent_change,13.090556107844655
LYlostAIDS,2050,2,baseline,12364304
LYlostAIDS,2050,2,intervention,13685145
LYlostAIDS,2050,2,percent_change,10.682695928537505
NewAdultHIV,2050,1,baseline,992274.7
NewAdultHIV,2050,1,intervention,1140578.6
NewAdultHIV,2050,1,percent_change,14.94585118415295
NewAdultHIV,2050,2,baseline,915635.6
NewAdultHIV,2050,2,intervention,1041968
NewAdultHIV,2050,2,percent_change,13.797235494120152
NewDiagnosesPregnancy,2050,1,baseline,44288.94
NewDiagnosesPregnancy,2050,1,intervention,80536.08
NewDiagnosesPregnancy,2050,1,percent_change,81.84241934893903
NewDiagnosesPregnancy,2050,2,baseline,42218.52
NewDiagnosesPregnancy,2050,2,intervention,74747.02
NewDiagnosesPregnancy,2050,2,percent_change,77.047940098326535
Number1stHIVtestsPos,2050,1,baseline,1004096.5
Number1stHIVtestsPos,2050,1,intervention,1043790
Number1stHIVtestsPos,2050,1,percent_change,3.953155896868478
Number1stHIVtestsPos,2050,2,baseline,935817
Number1stHIVtestsPos,2050,2,intervention,962927.9
Number1stHIVtestsPos,2050,2,percent_change,2.8970300817360686
RediagnosesPregnancy,2050,1,baseline,122594.64
RediagnosesPregnancy,2050,1,intervention,128806.15000000001
RediagnosesPregnancy,2050,1,percent_change,5.06670601585845
RediagnosesPregnancy,2050,2,baseline,110143.39
RediagnosesPregnancy,2050,2,intervention,114149.54000000001
RediagnosesPregnancy,2050,2,percent_change,3.6372132726258095
StartingARTtot,2050,1,baseline,1012723.7
StartingARTtot,2050,1,intervention,1027507.8
StartingARTtot,2050,1,percent_change,1.4598354911611227
StartingARTtot,2050,2,baseline,955792.6
StartingARTtot,2050,2,intervention,963692
StartingARTtot,2050,2,percent_change,0.8264763715475536
TotalAIDSdeathsadult,2050,1,baseline,616481.16
TotalAIDSdeathsadult,2050,1,intervention,668337.4
TotalAIDSdeathsadult,2050,1,percent_change,8.41165040631574
TotalAIDSdeathsadult,2050,2,baseline,598993.88
TotalAIDSdeathsadult,2050,2,intervention,638276.65
TotalAIDSdeathsadult,2050,2,percent_change,6.558125435271562
TotalHIVtests,2050,1,baseline,582052900
TotalHIVtests,2050,1,intervention,291902200
TotalHIVtests,2050,1,percent_change,-49.84954116713446
TotalHIVtests,2050,2,baseline,473932200
TotalHIVtests,2050,2,intervention,245883000
TotalHIVtests,2050,2,percent_change,-48.118528346459684
TotANCtests,2050,1,baseline,41224750
TotANCtests,2050,1,intervention,41203220
TotANCtests,2050,1,percent_change,-0.05222590798003627
TotANCtests,2050,2,baseline,41310540
TotANCtests,2050,2,intervention,41290920
TotANCtests,2050,2,percent_change,-0.04749393254118683
TotHIV15,2050,1,baseline,119324430
TotHIV15,2050,1,intervention,120005100
TotHIV15,2050,1,percent_change,0.5704364144039908
TotHIV15,2050,2,baseline,118349970
TotHIV15,2050,2,intervention,118961130
TotHIV15,2050,2,percent_change,0.5164006378708841
VLsuppressed,2050,1,baseline,19.508951
VLsuppressed,2050,1,intervention,19.502741
VLsuppressed,2050,1,percent_change,-0.03183154235201771
VLsuppressed,2050,2,baseline,19.542117
VLsuppressed,2050,2,intervention,19.536497
VLsuppressed,2050,2,percent_change,-0.02875839910282188
